date,state,cases
03/09/2020,Vermont,1
03/09/2020,Virginia,5
03/09/2020,Washington,179
03/09/2020,Wisconsin,2
03/10/2020,Arizona,6
03/10/2020,California,179
03/10/2020,Colorado,17
03/10/2020,Connecticut,2
03/10/2020,District of Columbia,4
03/10/2020,Florida,23
03/10/2020,Georgia,22
03/10/2020,Hawaii,2
03/10/2020,Illinois,19
03/10/2020,Indiana,6
03/10/2020,Iowa,13
03/10/2020,Kansas,1
03/10/2020,Kentucky,7
03/10/2020,Louisiana,6
03/10/2020,Maryland,9
03/10/2020,Massachusetts,92
03/10/2020,Michigan,2
03/10/2020,Minnesota,3
03/10/2020,Missouri,1
03/10/2020,Nebraska,17
03/10/2020,Nevada,4
03/10/2020,New Hampshire,5
03/10/2020,New Jersey,15
03/10/2020,New York,173
03/10/2020,North Carolina,7
03/10/2020,Ohio,3
03/10/2020,Oklahoma,2
03/10/2020,Oregon,14
03/10/2020,Pennsylvania,12
03/10/2020,Rhode Island,5
03/10/2020,South Carolina,9
03/10/2020,South Dakota,5
03/10/2020,Tennessee,7
03/10/2020,Texas,31
03/10/2020,Utah,4
03/10/2020,Vermont,1
03/10/2020,Virginia,8
03/10/2020,Washington,279
03/10/2020,Wisconsin,3
03/11/2020,Arizona,9
03/11/2020,Arkansas,1
03/11/2020,California,202
03/11/2020,Colorado,34
03/11/2020,Connecticut,3
03/11/2020,Delaware,1
03/11/2020,District of Columbia,10
03/11/2020,Florida,26
03/11/2020,Georgia,31
03/11/2020,Hawaii,2
03/11/2020,Illinois,25
03/11/2020,Indiana,11
03/11/2020,Iowa,14
03/11/2020,Kansas,1
03/11/2020,Kentucky,7
03/11/2020,Louisiana,13
03/11/2020,Maryland,13
03/11/2020,Massachusetts,95
03/11/2020,Michigan,2
03/11/2020,Minnesota,5
03/11/2020,Mississippi,1
03/11/2020,Missouri,1
03/11/2020,Nebraska,23
03/11/2020,Nevada,7
03/11/2020,New Hampshire,5
03/11/2020,New Jersey,23
03/11/2020,New Mexico,4
03/11/2020,New York,217
03/11/2020,North Carolina,8
03/11/2020,North Dakota,1
03/11/2020,Ohio,4
03/11/2020,Oklahoma,2
03/11/2020,Oregon,20
03/11/2020,Pennsylvania,16
03/11/2020,Rhode Island,5
03/11/2020,South Carolina,10
03/11/2020,South Dakota,8
03/11/2020,Tennessee,8
03/11/2020,Texas,33
03/11/2020,Utah,5
03/11/2020,Vermont,2
03/11/2020,Virginia,10
03/11/2020,Washington,338
03/11/2020,Wisconsin,6
03/11/2020,Wyoming,1
03/12/2020,Alaska,1
03/12/2020,Arizona,9
03/12/2020,Arkansas,6
03/12/2020,California,252
03/12/2020,Colorado,49
03/12/2020,Connecticut,6
03/12/2020,Delaware,4
03/12/2020,District of Columbia,10
03/12/2020,Florida,46
03/12/2020,Georgia,31
03/12/2020,Hawaii,2
03/12/2020,Illinois,32
03/12/2020,Indiana,12
03/12/2020,Iowa,16
03/12/2020,Kansas,5
03/12/2020,Kentucky,11
03/12/2020,Louisiana,14
03/12/2020,Maine,1
03/12/2020,Maryland,13
03/12/2020,Massachusetts,108
03/12/2020,Michigan,12
03/12/2020,Minnesota,9
03/12/2020,Mississippi,1
03/12/2020,Missouri,2
03/12/2020,Nebraska,24
03/12/2020,Nevada,11
03/12/2020,New Hampshire,6
03/12/2020,New Jersey,29
03/12/2020,New Mexico,6
03/12/2020,New York,326
03/12/2020,North Carolina,16
03/12/2020,North Dakota,1
03/12/2020,Ohio,5
03/12/2020,Oklahoma,2
03/12/2020,Oregon,30
03/12/2020,Pennsylvania,22
03/12/2020,Rhode Island,5
03/12/2020,South Carolina,12
03/12/2020,South Dakota,8
03/12/2020,Tennessee,18
03/12/2020,Texas,41
03/12/2020,Utah,7
03/12/2020,Vermont,2
03/12/2020,Virginia,17
03/12/2020,Washington,419
03/12/2020,Wisconsin,8
03/12/2020,Wyoming,1
03/13/2020,Alabama,6
03/13/2020,Alaska,1
03/13/2020,Arizona,9
03/13/2020,Arkansas,7
03/13/2020,California,320
03/13/2020,Colorado,78
03/13/2020,Connecticut,11
03/13/2020,Delaware,4
03/13/2020,District of Columbia,10
03/13/2020,Florida,70
03/13/2020,Georgia,41
03/13/2020,Hawaii,2
03/13/2020,Idaho,1
03/13/2020,Illinois,46
03/13/2020,Indiana,12
03/13/2020,Iowa,17
03/13/2020,Kansas,6
03/13/2020,Kentucky,11
03/13/2020,Louisiana,36
03/13/2020,Maine,2
03/13/2020,Maryland,18
03/13/2020,Massachusetts,123
03/13/2020,Michigan,25
03/13/2020,Minnesota,14
03/13/2020,Mississippi,6
03/13/2020,Missouri,4
03/13/2020,Montana,4
03/13/2020,Nebraska,27
03/13/2020,Nevada,19
03/13/2020,New Hampshire,7
03/13/2020,New Jersey,50
03/13/2020,New Mexico,10
03/13/2020,New York,421
03/13/2020,North Carolina,18
03/13/2020,North Dakota,1
03/13/2020,Ohio,13
03/13/2020,Oklahoma,3
03/13/2020,Oregon,30
03/13/2020,Pennsylvania,41
03/13/2020,Puerto Rico,3
03/13/2020,Rhode Island,20
03/13/2020,South Carolina,13
03/13/2020,South Dakota,9
03/13/2020,Tennessee,26
03/13/2020,Texas,58
03/13/2020,Utah,7
03/13/2020,Vermont,2
03/13/2020,Virginia,30
03/13/2020,Washington,511
03/13/2020,Wisconsin,19
03/13/2020,Wyoming,2
03/14/2020,Alabama,12
03/14/2020,Alaska,1
03/14/2020,Arizona,12
03/14/2020,Arkansas,9
03/14/2020,California,381
03/14/2020,Colorado,103
03/14/2020,Connecticut,20
03/14/2020,Delaware,4
03/14/2020,District of Columbia,16
03/14/2020,Florida,70
03/14/2020,Georgia,65
03/14/2020,Hawaii,4
03/14/2020,Idaho,5
03/14/2020,Illinois,66
03/14/2020,Indiana,15
03/14/2020,Iowa,18
03/14/2020,Kansas,8
03/14/2020,Kentucky,18
03/14/2020,Louisiana,77
03/14/2020,Maine,3
03/14/2020,Maryland,27
03/14/2020,Massachusetts,138
03/14/2020,Michigan,33
03/14/2020,Minnesota,21
03/14/2020,Mississippi,6
03/14/2020,Missouri,5
03/14/2020,Montana,6
03/14/2020,Nebraska,29
03/14/2020,Nevada,21
03/14/2020,New Hampshire,7
03/14/2020,New Jersey,75
03/14/2020,New Mexico,13
03/14/2020,New York,610
03/14/2020,North Carolina,25
03/14/2020,North Dakota,1
03/14/2020,Ohio,26
03/14/2020,Oklahoma,4
03/14/2020,Oregon,36
03/14/2020,Pennsylvania,47
03/14/2020,Puerto Rico,4
03/14/2020,Rhode Island,20
03/14/2020,South Carolina,19
03/14/2020,South Dakota,9
03/14/2020,Tennessee,32
03/14/2020,Texas,69
03/14/2020,Utah,21
03/14/2020,Vermont,5
03/14/2020,Virgin Islands,1
03/14/2020,Virginia,42
03/14/2020,Washington,609
03/14/2020,Wisconsin,27
03/14/2020,Wyoming,3
03/15/2020,Alabama,23
03/15/2020,Alaska,1
03/15/2020,Arizona,13
03/15/2020,Arkansas,16
03/15/2020,California,478
03/15/2020,Colorado,136
03/15/2020,Connecticut,26
03/15/2020,Delaware,7
03/15/2020,District of Columbia,17
03/15/2020,Florida,109
03/15/2020,Georgia,97
03/15/2020,Guam,3
03/15/2020,Hawaii,7
03/15/2020,Idaho,5
03/15/2020,Illinois,94
03/15/2020,Indiana,19
03/15/2020,Iowa,22
03/15/2020,Kansas,9
03/15/2020,Kentucky,21
03/15/2020,Louisiana,103
03/15/2020,Maine,12
03/15/2020,Maryland,32
03/15/2020,Massachusetts,164
03/15/2020,Michigan,53
03/15/2020,Minnesota,35
03/15/2020,Mississippi,10
03/15/2020,Missouri,5
03/15/2020,Montana,6
03/15/2020,Nebraska,31
03/15/2020,Nevada,26
03/15/2020,New Hampshire,13
03/15/2020,New Jersey,98
03/15/2020,New Mexico,17
03/15/2020,New York,732
03/15/2020,North Carolina,32
03/15/2020,North Dakota,1
03/15/2020,Ohio,37
03/15/2020,Oklahoma,8
03/15/2020,Oregon,39
03/15/2020,Pennsylvania,68
03/15/2020,Puerto Rico,5
03/15/2020,Rhode Island,20
03/15/2020,South Carolina,28
03/15/2020,South Dakota,9
03/15/2020,Tennessee,39
03/15/2020,Texas,80
03/15/2020,Utah,29
03/15/2020,Vermont,8
03/15/2020,Virgin Islands,1
03/15/2020,Virginia,45
03/15/2020,Washington,675
03/15/2020,Wisconsin,33
03/15/2020,Wyoming,3
